
Running 3 profiles...

  Profile 0: {'B': 1, 'D': 1536, 'S': 2048, 'W': 4, 'seed': 2146}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 117.241ms
Self CUDA time total: 38.368us


  Profile 1: {'B': 1, 'D': 2560, 'S': 2048, 'W': 4, 'seed': 3129}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _helion_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.104us        49.36%      27.104us      27.104us             1  
                                            aten::copy_         0.04%      29.086us         0.11%      78.155us      19.539us      23.040us        41.96%      23.040us       5.760us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.568us        24.71%      13.568us      13.568us             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       9.472us        17.25%       9.472us       3.157us             3  
                                            aten::fill_         0.01%      10.180us         0.05%      34.537us      34.537us       4.768us         8.68%       4.768us       4.768us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.768us         8.68%       4.768us       4.768us             1  
                                            aten::clone         0.03%      20.783us         2.60%       1.777ms     592.486us       0.000us         0.00%       9.472us       3.157us             3  
                                    aten::empty_strided        33.53%      22.880ms        37.17%      25.366ms     157.554us       0.000us         0.00%       0.000us       0.000us           161  
                                Activity Buffer Request         2.28%       1.553ms         2.28%       1.553ms       1.553ms       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.01%       3.898us         0.01%       3.898us       1.299us       0.000us         0.00%       0.000us       0.000us             3  
                                             cudaMalloc         0.41%     278.675us         0.41%     278.675us      92.892us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaMemcpyAsync         0.06%      40.788us         0.06%      40.788us      13.596us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::pad         0.00%       3.086us         0.24%     163.143us     163.143us       0.000us         0.00%      18.336us      18.336us             1  
                                  aten::constant_pad_nd         0.02%      11.688us         0.23%     160.057us     160.057us       0.000us         0.00%      18.336us      18.336us             1  
                                            aten::empty         5.13%       3.498ms        25.94%      17.701ms     256.534us       0.000us         0.00%       0.000us       0.000us            69  
                                       cudaLaunchKernel         0.05%      32.638us         0.05%      32.638us      16.319us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::narrow         0.01%       4.861us         0.02%      11.821us      11.821us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         0.01%       4.152us         0.01%       6.960us       6.960us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.11%      72.403us         0.11%      72.403us      10.343us       0.000us         0.00%       0.000us       0.000us             7  
                                     PythonDispatchMode        54.17%      36.968ms       248.77%     169.760ms     456.343us       0.000us         0.00%       0.000us       0.000us           372  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 68.241ms
Self CUDA time total: 54.912us


  Profile 2: {'B': 1, 'D': 2560, 'S': 4096, 'W': 4, 'seed': 54352}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _helion_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      53.376us        51.59%      53.376us      53.376us             1  
                                            aten::copy_         0.01%      23.544us         0.04%      64.642us      16.161us      42.207us        40.80%      42.207us      10.552us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      27.903us        26.97%      27.903us      27.903us             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      14.304us        13.83%      14.304us       4.768us             3  
                                            aten::fill_         0.00%       6.516us         0.01%      17.115us      17.115us       7.872us         7.61%       7.872us       7.872us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.872us         7.61%       7.872us       7.872us             1  
                                            aten::clone         0.01%      20.168us         1.09%       1.859ms     619.683us       0.000us         0.00%      14.304us       4.768us             3  
                                    aten::empty_strided        13.38%      22.754ms        14.68%      24.968ms     157.033us       0.000us         0.00%       0.000us       0.000us           159  
                                Activity Buffer Request         0.97%       1.644ms         0.97%       1.644ms       1.644ms       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.00%       4.020us         0.00%       4.020us       1.340us       0.000us         0.00%       0.000us       0.000us             3  
                                             cudaMalloc         0.17%     287.697us         0.17%     287.697us      95.899us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaMemcpyAsync         0.02%      35.166us         0.02%      35.166us      11.722us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::pad         0.00%       1.980us         0.07%     118.108us     118.108us       0.000us         0.00%      35.775us      35.775us             1  
                                  aten::constant_pad_nd         0.00%       7.485us         0.07%     116.128us     116.128us       0.000us         0.00%      35.775us      35.775us             1  
                                            aten::empty         2.07%       3.521ms        14.31%      24.337ms     352.707us       0.000us         0.00%       0.000us       0.000us            69  
                                       cudaLaunchKernel         0.01%      16.531us         0.01%      16.531us       8.265us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::narrow         0.00%       3.286us         0.00%       7.718us       7.718us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         0.00%       2.637us         0.00%       4.432us       4.432us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.05%      80.357us         0.05%      80.357us      11.480us       0.000us         0.00%       0.000us       0.000us             7  
                                     PythonDispatchMode        81.64%     138.884ms       219.01%     372.567ms       1.002ms       0.000us         0.00%       0.000us       0.000us           372  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 170.112ms
Self CUDA time total: 103.455us

