
Running 3 profiles...

  Profile 0: {'B': 1, 'D': 1536, 'S': 2048, 'W': 4, 'seed': 2146}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 112.648ms
Self CUDA time total: 36.096us


  Profile 1: {'B': 1, 'D': 2560, 'S': 2048, 'W': 4, 'seed': 3129}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _helion_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.040us        49.18%      27.040us      27.040us             1  
                                            aten::copy_         0.04%      26.554us         0.11%      73.285us      18.321us      23.136us        42.08%      23.136us       5.784us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.472us        24.50%      13.472us      13.472us             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       9.664us        17.58%       9.664us       3.221us             3  
                                            aten::fill_         0.01%       9.182us         0.03%      19.363us      19.363us       4.801us         8.73%       4.801us       4.801us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.801us         8.73%       4.801us       4.801us             1  
                                            aten::clone         0.03%      19.527us         2.71%       1.770ms     589.968us       0.000us         0.00%       9.664us       3.221us             3  
                                    aten::empty_strided        33.83%      22.128ms        37.55%      24.561ms     152.551us       0.000us         0.00%       0.000us       0.000us           161  
                                Activity Buffer Request         2.37%       1.549ms         2.37%       1.549ms       1.549ms       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.01%       3.434us         0.01%       3.434us       1.145us       0.000us         0.00%       0.000us       0.000us             3  
                                             cudaMalloc         0.41%     266.385us         0.41%     266.385us      88.795us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaMemcpyAsync         0.06%      38.928us         0.06%      38.928us      12.976us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::pad         0.00%       2.840us         0.19%     122.246us     122.246us       0.000us         0.00%      18.273us      18.273us             1  
                                  aten::constant_pad_nd         0.01%       9.510us         0.18%     119.406us     119.406us       0.000us         0.00%      18.273us      18.273us             1  
                                            aten::empty         5.13%       3.358ms        25.85%      16.907ms     245.033us       0.000us         0.00%       0.000us       0.000us            69  
                                       cudaLaunchKernel         0.03%      17.984us         0.03%      17.984us       8.992us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::narrow         0.01%       5.158us         0.02%      10.941us      10.941us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         0.01%       3.501us         0.01%       5.783us       5.783us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.10%      68.180us         0.10%      68.180us       9.740us       0.000us         0.00%       0.000us       0.000us             7  
                                     PythonDispatchMode        53.85%      35.219ms       249.57%     163.221ms     438.767us       0.000us         0.00%       0.000us       0.000us           372  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 65.401ms
Self CUDA time total: 54.977us


  Profile 2: {'B': 1, 'D': 2560, 'S': 4096, 'W': 4, 'seed': 54352}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _helion_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      53.248us        50.98%      53.248us      53.248us             1  
                                            aten::copy_         0.01%      22.041us         0.04%      64.669us      16.167us      43.489us        41.64%      43.489us      10.872us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      28.032us        26.84%      28.032us      28.032us             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.457us        14.80%      15.457us       5.152us             3  
                                            aten::fill_         0.00%       6.716us         0.01%      16.820us      16.820us       7.713us         7.38%       7.713us       7.713us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.713us         7.38%       7.713us       7.713us             1  
                                            aten::clone         0.01%      17.362us         1.10%       1.787ms     595.596us       0.000us         0.00%      15.457us       5.152us             3  
                                    aten::empty_strided        13.77%      22.451ms        15.08%      24.590ms     154.653us       0.000us         0.00%       0.000us       0.000us           159  
                                Activity Buffer Request         0.97%       1.574ms         0.97%       1.574ms       1.574ms       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.00%       3.597us         0.00%       3.597us       1.199us       0.000us         0.00%       0.000us       0.000us             3  
                                             cudaMalloc         0.17%     271.095us         0.17%     271.095us      90.365us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaMemcpyAsync         0.02%      35.631us         0.02%      35.631us      11.877us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::pad         0.00%       1.995us         0.07%     112.398us     112.398us       0.000us         0.00%      35.745us      35.745us             1  
                                  aten::constant_pad_nd         0.00%       6.821us         0.07%     110.403us     110.403us       0.000us         0.00%      35.745us      35.745us             1  
                                            aten::empty         2.07%       3.376ms        14.26%      23.255ms     337.035us       0.000us         0.00%       0.000us       0.000us            69  
                                       cudaLaunchKernel         0.01%      17.101us         0.01%      17.101us       8.551us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::narrow         0.00%       2.912us         0.00%       7.459us       7.459us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         0.00%       2.878us         0.00%       4.547us       4.547us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.04%      67.774us         0.04%      67.774us       9.682us       0.000us         0.00%       0.000us       0.000us             7  
                                     PythonDispatchMode        81.32%     132.571ms       219.35%     357.615ms     961.330us       0.000us         0.00%       0.000us       0.000us           372  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 163.034ms
Self CUDA time total: 104.450us

